state_code,county_code,county_name,state_name,geo_center
17,51,Fayette,Illinois,"39 0m 0.642835s N, 89 1m 26.8328s W"
13,305,Wayne,Georgia,"31 33m 5.16124s N, 81 55m 0.331449s W"
53,7,Chelan,Washington,"47 52m 9.14563s N, 120 37m 8.30452s W"
37,149,Polk,North Carolina,"35 16m 45.4043s N, 82 10m 10.8405s W"
42,51,Fayette,Pennsylvania,"39 55m 11.6385s N, 79 38m 50.5297s W"
72,11,Añasco,Puerto Rico,"18 17m 13.4844s N, 67 7m 53.509s W"
20,183,Smith,Kansas,"39 47m 6.56289s N, 98 47m 7.70205s W"
22,31,De Soto,Louisiana,"32 3m 19.6186s N, 93 44m 14.1985s W"
53,19,Ferry,Washington,"48 28m 12.5207s N, 118 30m 59.7103s W"
37,35,Catawba,North Carolina,"35 39m 43.3525s N, 81 12m 54.254s W"
22,17,Caddo,Louisiana,"32 34m 48.699s N, 93 52m 56.6287s W"
37,113,Macon,North Carolina,"35 9m 1.68195s N, 83 25m 19.8362s W"
21,105,Hickman,Kentucky,"36 40m 41.4138s N, 88 58m 34.3765s W"
17,99,LaSalle,Illinois,"41 20m 38.41s N, 88 53m 9.37653s W"
55,101,Racine,Wisconsin,"42 45m 4.22744s N, 87 41m 45.8916s W"
8,65,Lake,Colorado,"39 12m 8.56609s N, 106 20m 41.4158s W"
6,85,Santa Clara,California,"37 13m 56.9425s N, 121 41m 46.6039s W"
45,19,Charleston,South Carolina,"32 49m 30.1566s N, 79 53m 48.5492s W"
39,27,Clinton,Ohio,"39 24m 53.9208s N, 83 48m 30.1639s W"
8,105,Rio Grande,Colorado,"37 34m 57.0821s N, 106 22m 59.5573s W"
37,179,Union,North Carolina,"34 59m 18.087s N, 80 31m 50.6642s W"
5,147,Woodruff,Arkansas,"35 11m 10.7892s N, 91 14m 35.0959s W"
30,45,Judith Basin,Montana,"47 2m 43.5957s N, 110 15m 57.7688s W"
72,137,Toa Baja,Puerto Rico,"18 27m 26.0571s N, 66 11m 26.1008s W"
35,39,Rio Arriba,New Mexico,"36 30m 34.489s N, 106 41m 35.1013s W"
55,77,Marquette,Wisconsin,"43 49m 10.4948s N, 89 23m 55.4959s W"
53,55,San Juan,Washington,"48 33m 47.4677s N, 122 58m 39.0448s W"
8,47,Gilpin,Colorado,"39 51m 27.157s N, 105 31m 21.4363s W"
54,3,Berkeley,West Virginia,"39 27m 50.6394s N, 78 1m 39.1543s W"
13,165,Jenkins,Georgia,"32 47m 32.8961s N, 81 57m 48.7152s W"
12,121,Suwannee,Florida,"30 11m 44.2023s N, 82 59m 29.3725s W"
72,15,Arroyo,Puerto Rico,"17 57m 30.9237s N, 66 2m 30.6791s W"
18,79,Jennings,Indiana,"38 59m 48.9482s N, 85 37m 41.0326s W"
36,21,Columbia,New York,"42 15m 0.252428s N, 73 37m 54.7338s W"
16,73,Owyhee,Idaho,"42 34m 53.1339s N, 116 10m 11.8861s W"
46,57,Hamlin,South Dakota,"44 40m 25.5319s N, 97 11m 18.0013s W"
54,81,Raleigh,West Virginia,"37 46m 16.9s N, 81 14m 55.0848s W"
26,27,Cass,Michigan,"41 54m 55.4412s N, 85 59m 36.4479s W"
28,99,Neshoba,Mississippi,"32 45m 12.5877s N, 89 7m 3.26218s W"
17,143,Peoria,Illinois,"40 47m 17.0289s N, 89 45m 35.9281s W"
27,97,Morrison,Minnesota,"46 0m 45.4237s N, 94 16m 6.2951s W"
40,91,McIntosh,Oklahoma,"35 22m 25.11s N, 95 40m 0.479767s W"
19,115,Louisa,Iowa,"41 13m 6.62543s N, 91 15m 34.6259s W"
36,35,Fulton,New York,"43 6m 49.8487s N, 74 25m 19.8293s W"
22,101,St. Mary,Louisiana,"29 38m 4.64419s N, 91 28m 22.5348s W"
27,15,Brown,Minnesota,"44 14m 31.703s N, 94 43m 39.2567s W"
21,239,Woodford,Kentucky,"38 2m 32.607s N, 84 44m 36.9713s W"
56,39,Teton,Wyoming,"43 56m 4.6947s N, 110 35m 23.3148s W"
38,59,Morton,North Dakota,"46 42m 57.8095s N, 101 16m 52.0276s W"
37,21,Buncombe,North Carolina,"35 36m 40.2404s N, 82 31m 48.3854s W"
48,487,Wilbarger,Texas,"34 4m 50.6141s N, 99 14m 27.7971s W"
37,117,Martin,North Carolina,"35 50m 35.5703s N, 77 6m 33.2362s W"
